iter	Passed	Remaining
0	60	60699
1	61	30494
2	61	20401
3	61	15350
4	61	12324
5	62	10305
6	62	8870
7	62	7790
8	63	6946
9	63	6271
10	63	5720
11	63	5259
12	64	4869
13	64	4534
14	64	4253
15	65	4001
16	65	3776
17	65	3577
18	65	3398
19	66	3240
20	66	3095
21	66	2963
22	66	2842
23	67	2735
24	67	2634
25	67	2539
26	68	2452
27	68	2370
28	68	2294
29	68	2224
30	69	2157
31	69	2096
32	69	2038
33	69	1983
34	70	1931
35	70	1882
36	70	1836
37	70	1794
38	71	1752
39	71	1712
40	71	1677
41	71	1641
42	72	1606
43	72	1574
44	72	1545
45	73	1515
46	73	1486
47	73	1459
48	73	1432
49	74	1408
50	74	1384
51	74	1362
52	74	1339
53	75	1318
54	75	1298
55	75	1277
56	76	1258
57	76	1240
58	76	1222
59	76	1204
60	77	1186
61	77	1170
62	77	1153
63	77	1137
64	78	1122
65	78	1109
66	78	1094
67	78	1080
68	79	1067
69	79	1053
70	79	1040
71	79	1028
72	80	1016
73	80	1004
74	80	992
75	80	981
76	81	971
77	81	960
78	81	951
79	81	941
80	82	931
81	82	921
82	82	910
83	82	901
84	82	892
85	83	883
86	83	875
87	83	867
88	83	859
89	84	851
90	84	843
91	84	836
92	84	828
93	85	820
94	85	813
95	85	806
96	85	799
97	86	792
98	86	785
99	86	778
100	86	772
101	86	765
102	87	760
103	87	753
104	87	748
105	88	742
106	88	736
107	88	731
108	88	725
109	89	720
110	89	715
111	89	709
112	89	704
113	90	700
114	90	695
115	90	690
116	90	685
117	91	680
118	91	675
119	91	671
120	91	666
121	91	661
122	92	657
123	92	652
124	92	648
125	92	643
126	92	639
127	93	635
128	93	631
129	93	627
130	93	623
131	94	619
132	94	615
133	94	611
134	94	607
135	95	603
136	95	600
137	95	596
138	95	593
139	96	589
140	96	586
141	96	582
142	96	578
143	96	575
144	97	572
145	97	569
146	97	565
147	97	562
148	97	559
149	98	556
150	98	553
151	98	550
152	98	547
153	99	544
154	99	542
155	99	539
156	99	536
157	100	534
158	100	531
159	100	528
160	100	525
161	101	522
162	101	520
163	101	517
164	101	514
165	101	512
166	102	509
167	102	507
168	102	504
169	102	502
170	103	500
171	103	497
172	103	495
173	103	493
174	104	491
175	104	488
176	104	486
177	104	484
178	105	482
179	105	480
180	105	478
181	105	476
182	106	474
183	106	472
184	106	470
185	107	468
186	107	466
187	107	464
188	107	462
189	107	460
190	108	458
191	108	456
192	108	454
193	108	452
194	109	450
195	109	448
196	109	446
197	109	445
198	110	443
199	110	441
200	110	439
201	110	437
202	111	436
203	111	434
204	111	432
205	111	430
206	112	429
207	112	427
208	112	425
209	112	424
210	113	422
211	113	421
212	113	419
213	113	418
214	114	416
215	114	414
216	114	413
217	114	411
218	115	410
219	115	408
220	115	407
221	115	405
222	115	404
